"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2017","55.79","55.99","56.53","55.69","2.29M","-0.37%"
"07/17/2017","56.00","55.13","56.34","55.07","2.90M","1.34%"
"07/14/2017","55.26","55.03","56.47","55.00","3.59M","1.10%"
"07/13/2017","54.66","53.69","54.90","53.60","4.39M","2.55%"
"07/12/2017","53.30","54.10","54.17","53.01","3.99M","-0.73%"
"07/11/2017","53.69","54.32","54.66","53.03","5.18M","-1.00%"
"07/10/2017","54.23","55.18","55.51","53.10","11.38M","-6.29%"
"07/07/2017","57.87","57.52","58.08","57.34","2.51M","0.78%"
"07/06/2017","57.42","58.00","58.15","57.32","1.90M","-1.26%"
"07/05/2017","58.15","59.12","59.69","58.07","3.59M","-1.81%"
"07/03/2017","59.22","57.87","59.37","57.85","2.80M","3.30%"
"06/30/2017","57.33","57.60","58.07","57.32","2.98M","0.12%"
"06/29/2017","57.26","56.86","57.33","56.36","3.98M","0.86%"
"06/28/2017","56.77","56.52","57.35","56.39","2.43M","1.05%"
"06/27/2017","56.18","56.38","57.12","56.08","2.46M","-0.20%"
"06/26/2017","56.29","55.67","56.54","55.62","4.12M","2.01%"
"06/23/2017","55.18","54.99","55.46","54.83","4.09M","-0.07%"
"06/22/2017","55.22","55.13","55.67","54.65","2.18M","0.09%"
"06/21/2017","55.17","55.11","55.48","54.77","2.03M","0.44%"
"06/20/2017","54.93","55.88","56.02","54.85","2.35M","-1.54%"
"06/19/2017","55.79","56.03","56.10","55.38","3.15M","0.25%"
"06/16/2017","55.65","56.09","56.46","55.17","6.59M","-1.59%"
"06/15/2017","56.55","56.73","57.00","55.73","4.10M","-1.62%"
